City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Sinnamary,GF,79.92,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
9,Kulhudhuffushi,MV,82.29,broken clouds,6.6221,73.07,Haajy Guest House 1
11,Hithadhoo,MV,81.0,overcast clouds,-0.6,73.0833,Scoop Guest House
13,Rojhan,PK,81.41,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
16,Mattru,SL,72.45,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
18,Touros,BR,76.77,clear sky,-5.1989,-35.4608,INN NEW HORIZON
19,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
30,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
31,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
32,Kismayo,SO,76.73,clear sky,-0.3582,42.5454,Agan-Hotel
38,Yenagoa,NG,73.92,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
39,Jalu,LY,75.15,clear sky,29.0331,21.5482,صاحبة الفخامة
44,Carauari,BR,77.92,few clouds,-4.8828,-66.8958,Hotel Fellip
45,Daoukro,CI,71.15,light rain,7.0591,-3.9631,Komenan brou roseline
46,Elizabeth City,US,77.02,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
49,Ribeira Grande,PT,71.37,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
50,Tutoia,BR,79.05,overcast clouds,-2.7619,-42.2744,Pousada Guará's
52,Atar,MR,84.18,light rain,20.5169,-13.0499,Oumou Elghoura
53,Marsh Harbour,BS,83.75,clear sky,26.5412,-77.0636,Abaco Beach Resort
55,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Weligama,LK,78.67,overcast clouds,5.9667,80.4167,Weligama Bay Resort
58,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
61,Sao Filipe,CV,78.1,clear sky,14.8961,-24.4956,Hotel Xaguate
63,Maun,BW,71.56,clear sky,-19.9833,23.4167,Enviro Villa
66,Do Gonbadan,IR,75.29,clear sky,30.3586,50.7981,مسافرخانه شادی
69,Gaya,IN,78.71,mist,24.7833,85.0,Hotel Viraat Inn Gaya
70,Victoria,HK,84.96,scattered clouds,22.2855,114.1577,Mini Central
72,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
87,Bam,IR,77.52,clear sky,29.106,58.357,Bam Tourist Hotel
93,Kavaratti,IN,81.72,scattered clouds,10.5669,72.642,Green leaf
94,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
104,Lodwar,KE,82.78,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
107,Dunmore Town,BS,83.93,few clouds,25.5,-76.65,Coral Sands Hotel
108,Flic En Flac,MU,70.52,clear sky,-20.2742,57.3631,Hilton Mauritius Resort & Spa
111,Axim,GH,75.02,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
118,Mana,GF,79.74,clear sky,5.6592,-53.7767,LE SAMANA
122,Sao Felix Do Xingu,BR,71.29,light rain,-6.6447,-51.995,Rio Xingu Camping
123,Dibulla,CO,79.47,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
124,Bardiyah,LY,73.38,clear sky,31.7561,25.0865,بورتو بردية
125,Lagunas,PE,79.54,scattered clouds,-5.2269,-75.6753,Hospedaje Eco
127,Meulaboh,ID,76.93,light rain,4.1363,96.1285,Kost Pria
129,Kedougou,SN,73.98,thunderstorm,12.5579,-12.1743,Relais de Kédougou
131,Kalangala,UG,73.94,overcast clouds,-0.3089,32.225,Ssese Habitat Resort
132,Pemba,MZ,74.39,clear sky,-12.974,40.5178,Guesthouse Samotina
133,Salalah,OM,78.46,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
134,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
137,San Pedro,PH,84.34,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
139,Varzea Grande,BR,82.27,broken clouds,-15.6467,-56.1325,Hotel Express
141,Rock Sound,BS,84.22,overcast clouds,24.9,-76.2,Pink Corral Bay Property
142,Dingle,PH,78.1,light rain,10.9995,122.6711,SEGAYA PROPERTY
143,Ballina,AU,72.79,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
