City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Narsaq,GL,60.9167,-46.05,48.63,100,100,2.91,heavy intensity rain
1,Saint-Francois,FR,46.4154,3.9054,47.64,100,20,0.0,fog
2,Port Alfred,ZA,-33.5906,26.891,59.18,90,100,1.99,overcast clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,55.09,97,100,6.91,fog
4,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,5.75,broken clouds
5,Ushuaia,AR,-54.8,-68.3,46.06,57,75,8.05,broken clouds
6,Sinnamary,GF,5.3833,-52.95,79.92,83,0,12.71,clear sky
7,Klaksvik,FO,62.2266,-6.589,41.92,95,100,51.47,light rain
8,Korla,CN,41.7597,86.1469,69.69,35,57,3.18,broken clouds
9,Kulhudhuffushi,MV,6.6221,73.07,82.29,75,79,12.39,broken clouds
10,Chuy,UY,-33.6971,-53.4616,58.57,82,100,10.89,overcast clouds
11,Hithadhoo,MV,-0.6,73.0833,81.0,75,99,13.71,overcast clouds
12,Colares,PT,38.7992,-9.4469,64.76,92,1,28.99,clear sky
13,Rojhan,PK,28.6868,69.9534,81.41,58,0,8.08,clear sky
14,Hermanus,ZA,-34.4187,19.2345,56.8,89,100,7.81,overcast clouds
15,Port Elizabeth,ZA,-33.918,25.5701,61.32,85,40,13.0,scattered clouds
16,Mattru,SL,7.6244,-11.8332,72.45,97,100,2.3,moderate rain
17,Cape Town,ZA,-33.9258,18.4232,58.12,83,40,3.44,scattered clouds
18,Touros,BR,-5.1989,-35.4608,76.77,79,0,13.58,clear sky
19,Maceio,BR,-9.6658,-35.7353,72.84,94,20,2.3,few clouds
20,Lons-Le-Saunier,FR,46.75,5.75,50.11,96,100,1.39,overcast clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,68.79,82,64,18.5,broken clouds
22,Sechura,PE,-5.5569,-80.8222,63.07,77,92,14.92,overcast clouds
23,Cidreira,BR,-30.1811,-50.2056,61.59,90,100,11.43,overcast clouds
24,Hamilton,US,39.1834,-84.5333,65.08,72,0,1.01,clear sky
25,Jamestown,US,42.097,-79.2353,57.02,76,75,12.66,moderate rain
26,Vila Velha,BR,-20.3297,-40.2925,69.75,90,100,3.44,overcast clouds
27,Bredasdorp,ZA,-34.5322,20.0403,53.94,96,100,2.84,overcast clouds
